departamento,year,spi3_mean,spi3_median,spi3_min,spi3_max,spi3_std,n_sequia_e9,n_exceso_e9,spi3_floracion,spi3_desarrollo,spi3_cosecha,spi3_mean_lag1,spi3_min_lag1,spi3_median_lag1,n_sequia_e9_lag1,n_exceso_e9_lag1,spi3_floracion_lag1,spi3_desarrollo_lag1,spi3_cosecha_lag1
Narino,2013,-0.3012634066906221,-0.41332103078434884,-0.9744300737695719,0.6125491929298336,0.478572164104237,0,0,0.24216414049852159,-0.6385283411851417,-0.5074260193852462,-0.36227039472222483,-1.4147150912480646,-0.3706278721530915,3.0,0.0,0.3530002754830546,-0.862523336851281,-0.5772881227984482
Narino,2014,-0.24690371717843854,-0.1341358511924085,-1.2113332711574794,0.8503111436370159,0.5826638899958054,2,0,0.01110115827508315,-0.5325339920118292,-0.21927831779856966,-0.3012634066906221,-0.9744300737695719,-0.41332103078434884,0.0,0.0,0.24216414049852159,-0.6385283411851417,-0.5074260193852462
Narino,2015,-0.6188601574478201,-0.6048950392326597,-1.5664563865443673,0.11353942628667626,0.5316831921407759,3,0,-0.02619934461328345,-0.8442679175194974,-0.9861132102106792,-0.24690371717843854,-1.2113332711574794,-0.1341358511924085,2.0,0.0,0.01110115827508315,-0.5325339920118292,-0.21927831779856966
Narino,2016,-0.6695553245401711,-0.6291679664775218,-1.3643717719363684,-0.017815177878716983,0.4573297890229343,4,0,-0.6758361166233949,-0.7511850179250161,-0.5816448390721022,-0.6188601574478201,-1.5664563865443673,-0.6048950392326597,3.0,0.0,-0.02619934461328345,-0.8442679175194974,-0.9861132102106792
Narino,2017,-0.13828268721588807,-0.11993614351572021,-0.9665460987077598,0.6301641200986776,0.5331005506701294,0,0,0.43232313367031433,-0.45400629475309395,-0.3931649005648845,-0.6695553245401711,-1.3643717719363684,-0.6291679664775218,4.0,0.0,-0.6758361166233949,-0.7511850179250161,-0.5816448390721022
Narino,2018,1.4693857906714813,1.358256980236178,0.7395891861045334,2.1178515042943045,0.45250103843143785,0,10,1.1371611626766631,1.8710815870174549,1.3999146223203265,-0.13828268721588807,-0.9665460987077598,-0.11993614351572021,0.0,0.0,0.43232313367031433,-0.45400629475309395,-0.3931649005648845
Narino,2019,1.6774928717971276,1.6466194656125976,0.6831287818998091,2.5448229030707084,0.545785921699629,0,10,1.6694463385779241,2.107641677939165,1.255390598874294,1.4693857906714813,0.7395891861045334,1.358256980236178,0.0,10.0,1.1371611626766631,1.8710815870174549,1.3999146223203265
Narino,2020,1.0194234243143538,1.217432692746621,-0.10655942759273483,1.9066285785825638,0.6521727684051581,0,7,1.4637517106347708,0.9234845058882015,0.6710340564200892,1.6774928717971276,0.6831287818998091,1.6466194656125976,0.0,10.0,1.6694463385779241,2.107641677939165,1.255390598874294
Narino,2021,1.4879423463670791,1.6892885447809531,0.28849250028355444,2.2389624110384796,0.5633923346589258,0,9,1.8364420287086471,1.4404659395890442,1.1869190708035453,1.0194234243143538,-0.10655942759273483,1.217432692746621,0.0,7.0,1.4637517106347708,0.9234845058882015,0.6710340564200892
Narino,2022,1.1386274456332777,1.196709984023487,-0.10125178333641488,1.9328077821448097,0.6499571837687154,0,7,1.837373115294576,0.6898112492589196,0.8886979723463375,1.4879423463670791,0.28849250028355444,1.6892885447809531,0.0,9.0,1.8364420287086471,1.4404659395890442,1.1869190708035453
Narino,2023,1.0484624207880262,1.230591415386801,0.05220096735314873,2.0554643618793116,0.5799445255469365,0,7,1.3755636665504993,0.8670110182628967,0.902812577550683,1.1386274456332777,-0.10125178333641488,1.196709984023487,0.0,7.0,1.837373115294576,0.6898112492589196,0.8886979723463375
