departamento,year,rendimiento_kg_ha,anom_temp_mean_e9,area_cosechada_ha,area_sembrada_ha,enso_spi3dev,evi_max,evi_mean,evi_min,n_exceso_e9,n_exceso_e9_lag1,n_municipios,n_sequia_e9,n_sequia_e9_lag1,ndvi_max,ndvi_mean,ndvi_min,oni_max,oni_mean,oni_mean_lag1,oni_min,pct_area_cosechada,precio_cop_carga,precio_lag1,precio_lag2,precio_spi_int,produccion_t,roya_dummy,roya_interact,roya_shock,spi3_cosecha,spi3_cosecha_lag1,spi3_desarrollo,spi3_desarrollo_lag1,spi3_floracion,spi3_floracion_lag1,spi3_max,spi3_mean,spi3_mean_lag1,spi3_median,spi3_median_lag1,spi3_min,spi3_min_lag1,spi3_std,temp_sq_e9,tmax_mean_e9,tmedia_mean_e9
Narino,2013,890.2442819355842,0.4051960353802837,32135.0,39289.0,0.02294379166574091,0.4088497922564074,0.2923388507852715,0.2323857540482874,0,0.0,37,0,3.0,0.6143296277602409,0.4269337945030469,0.3656951748064186,-0.1,-0.23416666666666666,-0.06333333333333334,-0.35,0.8179134108783629,1630651.68,382672.19,999140.79,-194177.82610113462,28608.0,1,-0.5074260193852462,0.15,-0.5074260193852462,-0.5772881227984482,-0.6385283411851417,-0.862523336851281,0.24216414049852159,0.3530002754830546,0.6125491929298336,-0.3012634066906221,-0.36227039472222483,-0.41332103078434884,-0.3706278721530915,-0.9744300737695719,-1.4147150912480646,0.478572164104237,404.01000000000005,20.1,11.81
Narino,2013,890.2442819355842,0.12601476208763174,32135.0,39289.0,0.02294379166574091,0.4088497922564074,0.2923388507852715,0.2323857540482874,0,0.0,37,0,3.0,0.6143296277602409,0.4269337945030469,0.3656951748064186,-0.1,-0.23416666666666666,-0.06333333333333334,-0.35,0.8179134108783629,1630651.68,382672.19,999140.79,-194177.82610113462,28608.0,1,-0.5074260193852462,0.15,-0.5074260193852462,-0.5772881227984482,-0.6385283411851417,-0.862523336851281,0.24216414049852159,0.3530002754830546,0.6125491929298336,-0.3012634066906221,-0.36227039472222483,-0.41332103078434884,-0.3706278721530915,-0.9744300737695719,-1.4147150912480646,0.478572164104237,404.01000000000005,20.1,11.81
Narino,2014,961.6197078337449,0.2788162593793082,33611.0,38860.0,0.07054584773338735,0.3738620381034764,0.3226019078156527,0.247660538018751,0,0.0,38,2,0.0,0.5480372840056,0.468278400766382,0.3361145367113997,0.77,0.205,-0.23416666666666666,-0.32,0.8649253731343284,949792.4,1630651.68,382672.19,-357566.5573058115,32321.0,1,-0.21927831779856966,0.15,-0.21927831779856966,-0.5074260193852462,-0.5325339920118292,-0.6385283411851417,0.01110115827508315,0.24216414049852159,0.8503111436370159,-0.24690371717843854,-0.3012634066906221,-0.1341358511924085,-0.41332103078434884,-1.2113332711574794,-0.9744300737695719,0.5826638899958054,418.6116,20.46,12.56
Narino,2014,961.6197078337449,0.018487880367196396,33611.0,38860.0,0.07054584773338735,0.3738620381034764,0.3226019078156527,0.247660538018751,0,0.0,38,2,0.0,0.5480372840056,0.468278400766382,0.3361145367113997,0.77,0.205,-0.23416666666666666,-0.32,0.8649253731343284,949792.4,1630651.68,382672.19,-357566.5573058115,32321.0,1,-0.21927831779856966,0.15,-0.21927831779856966,-0.5074260193852462,-0.5325339920118292,-0.6385283411851417,0.01110115827508315,0.24216414049852159,0.8503111436370159,-0.24690371717843854,-0.3012634066906221,-0.1341358511924085,-0.41332103078434884,-1.2113332711574794,-0.9744300737695719,0.5826638899958054,418.6116,20.46,12.56
Narino,2015,1093.227424749164,2.8679502459586033,33488.0,38850.0,-0.0506152620215799,0.3838256123289639,0.3411484042551346,0.2819947495286418,0,0.0,38,3,2.0,0.5936678377790188,0.5028599638876039,0.3883621695297783,2.75,1.5483333333333331,0.205,0.61,0.861981981981982,643896.21,949792.4,1630651.68,-936602.8325977055,36610.0,0,-0.0,0.0,-0.9861132102106792,-0.21927831779856966,-0.8442679175194974,-0.5325339920118292,-0.02619934461328345,0.01110115827508315,0.11353942628667626,-0.6188601574478201,-0.24690371717843854,-0.6048950392326597,-0.1341358511924085,-1.5664563865443673,-1.2113332711574794,0.5316831921407759,408.44410000000005,20.21,12.22
Narino,2016,1130.442748091603,-0.6126949153317263,32750.0,38753.0,-0.9582018104483746,0.4051356461737856,0.3030533040256077,0.2220718397127287,0,0.0,38,4,3.0,0.6374236366654423,0.4407680356328336,0.3221409326306427,2.63,0.42333333333333334,1.5483333333333331,-0.64,0.845095863546048,1116644.03,643896.21,949792.4,-374518.9074445865,37022.0,0,-0.0,0.0,-0.5816448390721022,-0.9861132102106792,-0.7511850179250161,-0.8442679175194974,-0.6758361166233949,-0.02619934461328345,-0.017815177878716983,-0.6695553245401711,-0.6188601574478201,-0.6291679664775218,-0.6048950392326597,-1.3643717719363684,-1.5664563865443673,0.4573297890229343,390.0625,19.75,12.57
Narino,2017,1040.608835245853,-0.24387771103065248,33638.0,38170.0,-0.2834450873886724,0.4529492996278093,0.3416962129252722,0.2484900812417464,0,0.0,38,0,4.0,0.7619015599817098,0.4973354578727617,0.3433457944178266,0.4,-0.11499999999999999,0.42333333333333334,-0.86,0.8812680115273775,2600000.0,1116644.03,643896.21,-439025.23902132193,35004.0,0,-0.0,0.0,-0.3931649005648845,-0.5816448390721022,-0.45400629475309395,-0.7511850179250161,0.43232313367031433,-0.6758361166233949,0.6301641200986776,-0.13828268721588807,-0.6695553245401711,-0.11993614351572021,-0.6291679664775218,-0.9665460987077598,-1.3643717719363684,0.5331005506701294,389.2729,19.73,12.67
Narino,2018,1066.0650790330774,-0.13888998612509162,33467.0,37621.0,0.015902509029827126,0.3961831776966458,0.3098548895986858,0.230988435312611,10,0.0,38,0,0.0,0.5532814193932719,0.4493093085884,0.321112814838451,0.97,0.09416666666666669,-0.11499999999999999,-0.77,0.8895829456952234,1389710.03,2600000.0,1116644.03,3639778.018032849,35678.0,0,0.0,0.0,1.3999146223203265,-0.3931649005648845,1.8710815870174549,-0.45400629475309395,1.1371611626766631,0.43232313367031433,2.1178515042943045,1.4693857906714813,-0.13828268721588807,1.358256980236178,-0.11993614351572021,0.7395891861045334,-0.9665460987077598,0.45250103843143785,411.68409999999994,20.29,11.86
Narino,2018,1066.0650790330774,0.8324663749908545,33467.0,37621.0,0.015902509029827126,0.3961831776966458,0.3098548895986858,0.230988435312611,10,0.0,38,0,0.0,0.5532814193932719,0.4493093085884,0.321112814838451,0.97,0.09416666666666669,-0.11499999999999999,-0.77,0.8895829456952234,1389710.03,2600000.0,1116644.03,3639778.018032849,35678.0,0,0.0,0.0,1.3999146223203265,-0.3931649005648845,1.8710815870174549,-0.45400629475309395,1.1371611626766631,0.43232313367031433,2.1178515042943045,1.4693857906714813,-0.13828268721588807,1.358256980236178,-0.11993614351572021,0.7395891861045334,-0.9665460987077598,0.45250103843143785,411.68409999999994,20.29,11.86
Quindio,2007,1277.4316720257234,-0.6879074128955374,19904.0,23570.0,-0.021357092515542474,0.4973114548464588,0.3961764247691292,0.2356197599360784,2,0.0,12,2,4.0,0.7709775794708189,0.5568377139228831,0.3227664221223836,0.66,-0.6075,0.07166666666666667,-1.6,0.8444633008061094,418925.22,592555.32,489962.82,-10700.404398628643,25426.0,0,-0.0,0.0,-0.018058068230032337,0.018611260963348253,-0.015370044561726026,-0.3970510463032611,-0.3126385750314557,-0.5155780408920978,1.3127063263979892,-0.115355562607738,-0.2980059420773368,0.2087811551086592,-0.2359318371078154,-1.4033359260532856,-1.2827276515734118,0.8641373927366427,980.9424,31.32,22.91
