year,oni_mean,oni_max,oni_min,oni_std,oni_mean_lag1,enso_phase
1979,0.25083333333333335,0.64,0.03,0.2014699767090658,-0.09833333333333333,Neutro
1980,0.25333333333333335,0.59,-0.07,0.2281280873597643,0.25083333333333335,Neutro
1981,-0.2683333333333333,-0.08,-0.5,0.1303724269045019,0.25333333333333335,Neutro
1982,0.9900000000000001,2.23,-0.05,0.8162441702423028,-0.2683333333333333,Nino
1983,0.48,2.18,-1.0,1.1341797196051586,0.9900000000000001,Neutro
1984,-0.5058333333333334,-0.16,-1.14,0.2799174661909969,0.48,Nina
1985,-0.5983333333333333,-0.27,-1.04,0.2433416353917914,-0.5058333333333334,Nina
1986,0.25333333333333335,1.22,-0.49,0.6223610956135781,-0.5983333333333333,Neutro
1987,1.2766666666666666,1.7,0.95,0.2528863680618533,0.25333333333333335,Nino
1988,-0.8108333333333334,0.81,-1.85,0.895924695834455,1.2766666666666666,Nina
1989,-0.605,-0.05,-1.69,0.5362750312021894,-0.8108333333333334,Nina
1990,0.315,0.41,0.14,0.08073525759036027,-0.605,Neutro
1991,0.6466666666666666,1.53,0.22,0.39331535654862204,0.315,Nino
1992,0.6308333333333334,1.71,-0.28,0.7767234014913177,0.6466666666666666,Nino
1993,0.3125,0.7,0.04,0.2417032365225061,0.6308333333333334,Neutro
1994,0.47500000000000003,1.09,0.06,0.3312922357293413,0.3125,Neutro
1995,-0.16,0.96,-1.0,0.7026443559220347,0.47500000000000003,Neutro
1996,-0.45999999999999996,-0.27,-0.9,0.19540168418367881,-0.16,Neutro
1997,1.1708333333333334,2.4,-0.5,1.1167848196198467,-0.45999999999999996,Nino
1998,-0.057500000000000016,2.24,-1.57,1.4152617811171575,1.1708333333333334,Neutro
1999,-1.2249999999999999,-0.98,-1.65,0.22191316893202745,-0.057500000000000016,Nina
2000,-0.8358333333333333,-0.51,-1.66,0.36270344343387173,-1.2249999999999999,Nina
2001,-0.30833333333333335,-0.08,-0.68,0.17585289995971756,-0.8358333333333333,Neutro
2002,0.6308333333333334,1.31,-0.15,0.5015513810954845,-0.30833333333333335,Nino
2003,0.2508333333333333,0.92,-0.26,0.3267876244828612,0.6308333333333334,Neutro
2004,0.4466666666666667,0.7,0.17,0.2151250517229174,0.2508333333333333,Neutro
2005,0.04083333333333334,0.64,-0.84,0.46314062920914467,0.4466666666666667,Neutro
2006,0.07166666666666667,0.94,-0.85,0.6387321722590682,0.04083333333333334,Neutro
2007,-0.6075,0.66,-1.6,0.691350785846743,0.07166666666666667,Nina
2008,-0.7816666666666666,-0.23,-1.64,0.4894492885484727,-0.6075,Nina
2009,0.2816666666666667,1.56,-0.85,0.8146592520616808,-0.7816666666666666,Neutro
2010,-0.47500000000000003,1.5,-1.64,1.1844791720798253,0.2816666666666667,Neutro
2011,-0.775,-0.37,-1.31,0.2887118727287561,-0.47500000000000003,Nina
2012,-0.06333333333333334,0.41,-0.72,0.3952061219008111,-0.775,Neutro
2013,-0.23416666666666666,-0.1,-0.35,0.08162645887136587,-0.06333333333333334,Neutro
2014,0.205,0.77,-0.32,0.35119277275645017,-0.23416666666666666,Neutro
2015,1.5483333333333331,2.75,0.61,0.8197431231055177,0.205,Nino
2016,0.42333333333333334,2.63,-0.64,1.201743682649457,1.5483333333333331,Neutro
2017,-0.11499999999999999,0.4,-0.86,0.44389802268702955,0.42333333333333334,Neutro
2018,0.09416666666666669,0.97,-0.77,0.6255827586169459,-0.11499999999999999,Neutro
2019,0.5750000000000001,0.89,0.19,0.2458195938636152,0.09416666666666669,Nino
2020,-0.27166666666666667,0.64,-1.2,0.6966521674582248,0.5750000000000001,Neutro
2021,-0.635,-0.3,-0.91,0.22293496809607954,-0.27166666666666667,Nina
2022,-0.85,-0.71,-0.97,0.08124038404635961,-0.635,Nina
2023,0.9,2.06,-0.54,0.9047048740284918,-0.85,Nino
2024,0.4366666666666667,1.92,-0.42,0.793259482175036,0.9,Neutro
2025,-0.2675,0.02,-0.55,0.21734451077410805,0.4366666666666667,Neutro
2026,-0.13666666666666666,0.11,-0.37,0.24027761721253466,-0.2675,Neutro
